	I	pval_norm	var_norm	pval_z_sim	pval_sim	var_sim	pval_norm_fdr_bh	pval_z_sim_fdr_bh	pval_sim_fdr_bh
INS	0.6549694473831057	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.8544335756190592e-06	0.0	0.0	0.010445117787640833
GCG	0.6500985406180141	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.5202453931609999e-06	0.0	0.0	0.010445117787640833
TTR	0.6485845242795857	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.472042310991708e-06	0.0	0.0	0.010445117787640833
TYK2	0.5753977164220341	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.4327603594712349e-06	0.0	0.0	0.010445117787640833
HSPA1A	0.5324149763756519	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.2714633027152675e-06	0.0	0.0	0.010445117787640833
CHGA	0.5069524930740048	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.1327247630338645e-06	0.0	0.0	0.010445117787640833
CPB1	0.4669259494935362	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.1820371541959252e-06	0.0	0.0	0.010445117787640833
PRSS2	0.4632379300314615	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.2418945118898556e-06	0.0	0.0	0.010445117787640833
MT2A	0.43089039380662064	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.2696821174575123e-06	0.0	0.0	0.010445117787640833
REG1A	0.37583327600340655	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.0666110192912075e-06	0.0	0.0	0.010445117787640833
SERPINA3	0.3560984801868091	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	7.843095589612367e-07	0.0	0.0	0.010445117787640833
IAPP	0.33133619596622305	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	8.94713215287321e-07	0.0	0.0	0.010445117787640833
MALAT1	0.325157260737452	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	7.442515555468735e-07	0.0	0.0	0.010445117787640833
HLA-A	0.3118548624062532	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	7.648911461281107e-07	0.0	0.0	0.010445117787640833
SOD2	0.30107578034602467	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	7.679993162311976e-07	0.0	0.0	0.010445117787640833
MT1X	0.29487319609669704	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	9.113319668415884e-07	0.0	0.0	0.010445117787640833
SPINK1	0.27380438247477873	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	7.862996194665633e-07	0.0	0.0	0.010445117787640833
B2M	0.2732798924678808	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	8.201857508624095e-07	0.0	0.0	0.010445117787640833
CUZD1	0.26439599964807653	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	8.103415122313248e-07	0.0	0.0	0.010445117787640833
SST	0.2399363339836332	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	4.942573927299578e-07	0.0	0.0	0.010445117787640833
MEG3	0.2270758655766611	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	7.832328985159234e-07	0.0	0.0	0.010445117787640833
OLFM4	0.20461689429034458	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	5.968654547278661e-07	0.0	0.0	0.010445117787640833
MZT2A	0.19986987795864347	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	6.599005964911243e-07	0.0	0.0	0.010445117787640833
CD74	0.19803085214438754	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	5.377574777761047e-07	0.0	0.0	0.010445117787640833
HLA-B	0.1938545872878556	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	5.177698616051469e-07	0.0	0.0	0.010445117787640833
SCG5	0.18917080620549825	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	5.838262971368885e-07	0.0	0.0	0.010445117787640833
HSPB1	0.18073163017112984	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	3.2961041850343036e-07	0.0	0.0	0.010445117787640833
HLA-C	0.1788881587552999	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	4.857557337600605e-07	0.0	0.0	0.010445117787640833
SERPINA1	0.17856596129680175	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	5.115837609648373e-07	0.0	0.0	0.010445117787640833
COL1A1	0.1714888930565829	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	5.421230992367875e-07	0.0	0.0	0.010445117787640833
G6PC2	0.1541300977122252	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	4.417959634527955e-07	0.0	0.0	0.010445117787640833
RPL21	0.14686425756694169	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	4.058959519770998e-07	0.0	0.0	0.010445117787640833
CCL2	0.13212851761054006	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	3.583658769971606e-07	0.0	0.0	0.010445117787640833
AZU1	0.13054174223622217	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	3.57539886921979e-07	0.0	0.0	0.010445117787640833
COL3A1	0.12969450720856568	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	4.7628126981760636e-07	0.0	0.0	0.010445117787640833
RGS2	0.11899746946580284	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	3.466481499097095e-07	0.0	0.0	0.010445117787640833
GC	0.11596242236971308	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	3.7664313974361453e-07	0.0	0.0	0.010445117787640833
TPM1	0.11424408983642144	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	3.1714015935490706e-07	0.0	0.0	0.010445117787640833
XBP1	0.11303713931383123	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	3.197262912410174e-07	0.0	0.0	0.010445117787640833
HSPA1B	0.11160927592927591	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	3.311255165128027e-07	0.0	0.0	0.010445117787640833
IGF2	0.11066559980537205	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	4.1200249095126624e-07	0.0	0.0	0.010445117787640833
COL9A2	0.10871769315368333	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	4.227751398660124e-07	0.0	0.0	0.010445117787640833
KRT7	0.10511290398462654	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	3.4526498114220166e-07	0.0	0.0	0.010445117787640833
ANXA4	0.101429802115225	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	3.2641475762030236e-07	0.0	0.0	0.010445117787640833
LCN2	0.09711158972301649	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	4.142288042174088e-07	0.0	0.0	0.010445117787640833
VIM	0.0969066854778946	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	3.381508576339092e-07	0.0	0.0	0.010445117787640833
IGKC	0.09538512466518274	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.7013638441639544e-07	0.0	0.0	0.010445117787640833
IL32	0.09434845588194325	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	2.8891506127707596e-07	0.0	0.0	0.010445117787640833
KRT8	0.09413909240959843	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	2.747561341524398e-07	0.0	0.0	0.010445117787640833
NEAT1	0.09330469428887024	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	2.9586261678991944e-07	0.0	0.0	0.010445117787640833
HSP90AA1	0.09179793209825417	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	3.748278513508005e-07	0.0	0.0	0.010445117787640833
CLU	0.09085827934797751	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	3.364881403230811e-07	0.0	0.0	0.010445117787640833
TACSTD2	0.09066213922553733	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	3.012969347911513e-07	0.0	0.0	0.010445117787640833
TIMP1	0.08788089226345697	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	2.800091018548002e-07	0.0	0.0	0.010445117787640833
GLUL	0.08632278961662795	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	2.7949208855242163e-07	0.0	0.0	0.010445117787640833
CXCL2	0.08622440478547641	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	2.818032989300406e-07	0.0	0.0	0.010445117787640833
HSP90AB1	0.08585955760946568	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	3.424972978832328e-07	0.0	0.0	0.010445117787640833
SPP1	0.08546327379084208	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	2.2080734066798068e-07	0.0	0.0	0.010445117787640833
IFITM3	0.08528817092508777	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	3.9222172902878353e-07	0.0	0.0	0.010445117787640833
HLA-DRB1	0.08293588141288909	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	2.957194423214907e-07	0.0	0.0	0.010445117787640833
CXCL8	0.08224434381901483	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	2.9281254157361123e-07	0.0	0.0	0.010445117787640833
NFKBIA	0.08149255233415384	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	2.8081595611832816e-07	0.0	0.0	0.010445117787640833
SAT1	0.0788479859794122	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	3.2699470865472833e-07	0.0	0.0	0.010445117787640833
IGFBP7	0.07731117586936452	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	2.3448915683753851e-07	0.0	0.0	0.010445117787640833
TM4SF1	0.0748013751324585	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	2.560349794216578e-07	0.0	0.0	0.010445117787640833
CXCL3	0.07476742404902127	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	2.1461391231364758e-07	0.0	0.0	0.010445117787640833
LYZ	0.07198421084023969	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	2.772373703143051e-07	0.0	0.0	0.010445117787640833
FGFR3	0.07093995764954389	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	2.7126165932638455e-07	0.0	0.0	0.010445117787640833
APOD	0.07031114183641662	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	2.938039835691005e-07	0.0	0.0	0.010445117787640833
IGHG1	0.0685228906937692	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.6644860269810888e-07	0.0	0.0	0.010445117787640833
DMBT1	0.06726495289777971	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	2.4131049123539e-07	0.0	0.0	0.010445117787640833
CD44	0.06672238328715913	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	2.480084611705685e-07	0.0	0.0	0.010445117787640833
RPL34	0.06592640157359893	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	2.0143334952906514e-07	0.0	0.0	0.010445117787640833
HLA-DRA	0.06398821161028717	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	3.1591359232512506e-07	0.0	0.0	0.010445117787640833
S100A6	0.06322143046867529	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	3.430898208902729e-07	0.0	0.0	0.010445117787640833
RPL37	0.06298621837801155	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	2.231878405682835e-07	0.0	0.0	0.010445117787640833
C11orf96	0.06280084783380964	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	2.4133543549464985e-07	0.0	0.0	0.010445117787640833
FN1	0.06218292459930596	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	1.9739916211197258e-07	0.0	0.0	0.010445117787640833
YBX3	0.06157223762643308	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	2.502869767771815e-07	0.0	0.0	0.010445117787640833
AZGP1	0.061386822720133426	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	2.1697387969723417e-07	0.0	0.0	0.010445117787640833
COL1A2	0.060494691179418664	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	2.7737267592661965e-07	0.0	0.0	0.010445117787640833
TAGLN	0.059035699925718756	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	3.2281061205524874e-07	0.0	0.0	0.010445117787640833
FOS	0.05890904826416285	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	3.233676963818937e-07	0.0	0.0	0.010445117787640833
GSN	0.05751578781114606	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	2.416242651499156e-07	0.0	0.0	0.010445117787640833
INSR	0.05720098830970895	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	2.703560232881318e-07	0.0	0.0	0.010445117787640833
CXCL1	0.056853675874237876	0.0	2.1859524117317777e-07	0.0	0.009900990099009901	2.4646113595842147e-07	0.0	0.0	0.010445117787640833
